sentinel_depth,sentinel_temperature,sentinel_salinity,sentinel_density,slocum_depth,slocum_temperature,slocum_salinity,slocum_density
2.71,2.9828,32.138,1025.485,8.51,2.9548,32.1543,1025.5002
2.55,2.9808,32.148,1025.4931,8.75,2.9556,32.1505,1025.4971
2.38,2.9889,32.1442,1025.4894,9.02,2.9662,32.1429,1025.4902
2.23,2.9921,32.1432,1025.4883,9.29,2.9525,32.1368,1025.4866
2.07,2.9957,32.1426,1025.4876,9.54,2.9475,32.1478,1025.4957
1.89,2.9963,32.1426,1025.4875,9.79,2.9477,32.1505,1025.4978
1.73,2.9965,32.1424,1025.4873,10.04,2.9437,32.1501,1025.4978
1.6,2.9961,32.1426,1025.4875,10.29,2.9444,32.15,1025.4977
1.42,2.9969,32.1424,1025.4873,10.53,2.9208,32.148,1025.4981
1.25,2.9975,32.1425,1025.4873,10.78,2.915,32.1471,1025.4978
1.09,2.985,32.1455,1025.4907,11.03,2.9077,32.1493,1025.5002
0.9,2.9773,32.1427,1025.4891,11.28,2.91,32.1503,1025.5008
0.72,2.9796,32.1405,1025.4872,11.53,2.9122,32.1498,1025.5002
0.53,2.9757,32.1537,1025.498,11.79,2.905,32.1483,1025.4996
0.32,2.9781,32.1387,1025.4859,12.05,2.9044,32.1507,1025.5016
0.09,2.9757,32.1462,1025.492,12.3,2.9041,32.1557,1025.5056
-0.18,2.9814,32.1462,1025.4916,12.55,2.9036,32.1522,1025.5028
-0.42,2.9947,32.1332,1025.4801,12.83,2.9093,32.149,1025.4998
-0.48,2.9969,32.135,1025.4814,13.1,2.9044,32.1489,1025.5002
-0.49,2.9912,32.1423,1025.4877,13.37,2.9054,32.1479,1025.4993
-0.45,2.9927,32.1407,1025.4863,13.63,2.9034,32.1507,1025.5017
-0.43,2.9906,32.1421,1025.4876,13.89,2.9035,32.1486,1025.4999
-0.47,2.9918,32.1429,1025.4881,14.16,2.9002,32.1483,1025.5
-0.53,2.9942,32.1401,1025.4856,14.42,2.8993,32.1489,1025.5006
-0.63,2.9865,32.1415,1025.4874,14.68,2.9018,32.1486,1025.5001
-0.67,2.9853,32.1416,1025.4876,14.94,2.9022,32.1474,1025.4991
-0.67,2.9907,32.1416,1025.4871,15.22,2.8995,32.1497,1025.5012
-0.69,2.9923,32.1417,1025.4871,15.5,2.9006,32.1494,1025.5008
-0.7,2.994,32.1411,1025.4865,15.77,2.9006,32.1499,1025.5012
-0.72,2.9963,32.1389,1025.4846,16.05,2.8977,32.1518,1025.503
-0.77,2.9976,32.1387,1025.4843,16.34,2.8993,32.1467,1025.4988
-0.79,2.9944,32.141,1025.4864,16.63,2.8954,32.1492,1025.5012
-0.76,2.9912,32.1439,1025.489,16.9,2.8984,32.1487,1025.5004
-0.78,2.9944,32.1396,1025.4853,17.18,2.8961,32.1498,1025.5016
-0.78,2.9937,32.1423,1025.4874,17.46,2.8992,32.1488,1025.5005
-0.78,2.9924,32.1451,1025.4898,17.67,2.8971,32.1494,1025.5012
-0.78,2.9966,32.14,1025.4854,17.8,2.8972,32.1504,1025.5019
-0.78,2.9979,32.1399,1025.4852,17.92,2.8972,32.1487,1025.5006
-0.81,2.9964,32.1427,1025.4876,18.01,2.8976,32.1497,1025.5014
-0.79,2.9963,32.1426,1025.4875,18.11,2.8982,32.1487,1025.5005
-0.78,2.9937,32.1441,1025.4889,18.19,2.8987,32.1494,1025.501
-0.81,2.994,32.1409,1025.4863,18.3,2.8982,32.1495,1025.5011
-0.8,2.9884,24.1659,1019.1633,18.39,2.8979,32.1498,1025.5014
-0.8,2.983,26.3102,1020.8634,18.46,2.8986,32.1495,1025.5011
-0.8,2.9812,32.0201,1025.3916,18.48,2.9018,32.1526,1025.5033
-0.81,2.9857,31.4969,1024.9762,18.5,2.9009,32.1502,1025.5015
-0.83,2.9791,32.0975,1025.4532,18.52,2.9065,32.1512,1025.5018
-0.8,2.9778,32.0994,1025.4548,18.54,2.9069,32.1556,1025.5053
-0.8,2.9777,32.1478,1025.4932,18.55,2.909,32.1501,1025.5007
-0.81,2.9816,32.1462,1025.4916,18.57,2.9043,32.1502,1025.5012
-0.81,2.9819,32.1448,1025.4905,18.57,2.9058,32.155,1025.5049
-0.82,2.9782,32.1497,1025.4947,18.56,2.904,32.1519,1025.5026
-0.79,2.9795,32.1478,1025.493,18.49,2.9078,32.1543,1025.5041
-0.81,2.9864,32.1405,1025.4866,18.42,2.9093,32.1529,1025.5029
-0.8,2.9893,32.1402,1025.4862,18.37,2.9103,32.1533,1025.5031
-0.8,2.991,32.1413,1025.4869,18.34,2.9019,32.1513,1025.5023
-0.8,2.9893,32.1428,1025.4882,18.28,2.916,32.1613,1025.509
-0.8,2.9869,32.1458,1025.4908,18.2,2.9048,32.1468,1025.4984
-0.81,2.987,32.1445,1025.4898,18.1,2.8974,32.1501,1025.5017
-0.83,2.9885,32.1438,1025.4891,17.98,2.8974,32.1499,1025.5015
-0.8,2.99,32.1429,1025.4883,17.85,2.8972,32.1502,1025.5018
-0.8,2.9889,32.1442,1025.4893,17.75,2.9001,32.1544,1025.5049
-0.8,2.9882,32.1453,1025.4903,17.66,2.905,32.1498,1025.5008
-0.81,2.9903,32.144,1025.4891,17.52,2.9053,32.1496,1025.5006
-0.83,2.9908,32.1435,1025.4887,17.35,2.9034,32.1485,1025.4999
-0.8,2.9925,32.1421,1025.4874,17.16,2.9033,32.15,1025.5011
-0.8,2.9931,32.142,1025.4873,16.98,2.9047,32.1522,1025.5027
-0.8,2.9889,32.1465,1025.4912,16.81,2.9077,32.151,1025.5015
-0.81,2.9857,32.1483,1025.4929,16.63,2.9077,32.1491,1025.5
-0.79,2.9887,32.1454,1025.4904,16.44,2.9072,32.1496,1025.5005
-0.83,2.9895,32.1458,1025.4906,16.22,2.9088,32.1499,1025.5006
-0.81,2.9882,32.1447,1025.4899,15.96,2.9096,32.1492,1025.4999
-0.81,2.9853,32.1488,1025.4934,15.68,2.908,32.1509,1025.5014
-0.82,2.9856,32.1484,1025.493,15.39,2.9114,32.1492,1025.4998
-0.79,2.9839,32.1487,1025.4933,15.13,2.9117,32.1491,1025.4997
-0.82,2.9852,32.1471,1025.492,14.89,2.9092,32.1505,1025.501
-0.8,2.9877,32.1455,1025.4905,14.64,2.9096,32.1502,1025.5008
-0.8,2.9852,32.1485,1025.4931,14.36,2.9084,32.1496,1025.5004
-0.81,2.9853,32.1468,1025.4917,14.05,2.9116,32.1466,1025.4977
-0.8,2.9874,32.1457,1025.4907,13.74,2.9058,32.1489,1025.5
-0.82,2.9882,32.1458,1025.4907,13.43,2.9128,32.1456,1025.4968
-0.8,2.9878,32.1466,1025.4914,13.14,2.9181,32.1558,1025.5045
-0.8,2.9872,32.1463,1025.4912,12.87,2.9229,32.1517,1025.5009
-0.8,2.9874,32.146,1025.4909,12.61,2.9236,32.1546,1025.5031
-0.79,2.9876,32.1475,1025.4921,12.33,2.9265,32.1517,1025.5005
-0.76,2.9882,32.1473,1025.4919,12.04,2.9411,32.1587,1025.5049
-0.78,2.9896,32.1455,1025.4904,11.75,2.9344,32.1479,1025.4969
-0.8,2.9921,32.1434,1025.4885,11.45,2.9418,32.1525,1025.4999
-0.78,2.9908,32.145,1025.4899,11.13,2.9408,32.1519,1025.4995
-0.78,2.9897,32.1466,1025.4912,10.84,2.9447,32.149,1025.4969
-0.78,2.9902,32.145,1025.4899,10.56,2.9435,32.1501,1025.4979
-0.78,2.99,32.146,1025.4907,10.26,2.9413,32.1501,1025.498
-0.8,2.992,32.1443,1025.4892,9.93,2.9378,32.1512,1025.4992
-0.8,2.9916,32.1456,1025.4903,9.6,2.9499,32.1527,1025.4993
-0.79,2.9919,32.1457,1025.4903,9.27,2.9543,32.1722,1025.5145
-0.79,2.9938,32.1438,1025.4886,8.96,2.9684,32.1371,1025.4854
-0.79,2.9924,32.1445,1025.4894,8.66,2.9733,32.1484,1025.494
-0.81,2.993,32.1441,1025.4889,8.37,2.9952,32.1534,1025.4962
-0.8,2.9954,32.1423,1025.4873,8.08,2.9772,32.155,1025.4989
-0.81,2.995,32.1435,1025.4883,7.79,2.9684,32.1573,1025.5015
-0.8,2.9939,32.1444,1025.4891,7.48,2.984,32.1543,1025.4978
-0.8,2.9935,32.1458,1025.4902,7.15,3.0221,32.1542,1025.4945
