,sentinel_depth,sentinel_temperature,sentinel_salinity,sentinel_density,slocum_depth,slocum_temperature,slocum_salinity,slocum_density
225,-1.0700000077486038,3.031599998474121,31.903806782044846,1025.2951378574755,22.42000102996826,3.3766000270843506,32.2926652974283,1025.5735713431425
226,-1.0700000077486038,3.027400016784668,31.901171504575565,1025.2933986916644,22.40000009536743,3.3814001083374023,32.29246610507651,1025.5729862677963
227,-1.0700000077486038,3.0336999893188477,31.899420592074165,1025.2914837894834,22.320001125335693,3.3798999786376953,32.29195646349901,1025.5727161678444
228,-1.080000028014183,3.0448999404907227,31.89209388328625,1025.2847366272833,22.219998836517334,3.3731000423431396,32.28807142961659,1025.5702439849213
229,-1.080000028014183,3.0703999996185303,31.86867763683241,1025.26403032342,22.170000076293945,3.3633999824523926,32.288975725478466,1025.5718223763754
230,-1.0700000077486038,3.036400079727173,30.39040875214012,1024.0946145966313,22.149999141693115,3.3413000106811523,32.283192611697615,1025.5692009484721
231,-1.080000028014183,3.02620005607605,31.952128946774994,1025.333913035782,22.049999237060547,3.343400001525879,32.28452599662996,1025.570071288833
232,-1.0700000077486038,3.0276999473571777,31.951121478028487,1025.33298855356,21.90999984741211,3.343400001525879,32.28531953705984,1025.5706999128015
233,-1.0599999874830246,3.0322999954223633,31.947767373600815,1025.3299435295903,21.84999942779541,3.3436999320983887,32.27830404165779,1025.5651158489552
234,-1.0899999737739563,3.03629994392395,31.938231178408383,1025.3220457797972,21.80999994277954,3.3345999717712402,32.28438679661587,1025.5707398512607
235,-1.080000028014183,3.0332000255584717,31.94020964680169,1025.3238743328789,21.719999313354492,3.3304998874664307,32.279602840129016,1025.5673124772811
236,-1.0899999737739563,3.0413999557495117,31.939483018269666,1025.3226114001518,21.570000648498535,3.333899974822998,32.282677820872465,1025.5694479040224
237,-1.1999999731779099,3.0427000522613525,31.748083307915465,1025.1707149684448,21.459999084472656,3.3217999935150146,32.279130366143384,1025.567706635846
238,-1.1900000274181366,3.032900094985962,31.759194624338303,1025.1803419786572,21.380000114440918,3.321899890899658,32.27955507321824,1025.5680342872251
